feature,mannwhitney_p,welch_p,ks_p,rank_biserial,cohen_d,mean_difference_fail_minus_pass,median_difference_fail_minus_pass,random_forest_importance,mannwhitney_p_rank,random_forest_importance_rank
longest_modified_token_run,0.0388146446679439,0.4494750004679368,0.0501842780856294,0.1142123909883721,0.0894262655659547,0.915715843023257,0.0,0.0009508925927849226,43.0,115.0
modified_token_position_std,0.0523488764090659,0.0440846899408614,0.0231042103260996,-0.1206213662790697,-0.2229430796847552,-3.8436174983203273,0.0,0.01834999180976998,44.0,9.0
rna_last_position,0.057501557959331,0.2809965208147987,0.0576129684824286,-0.1177461845930232,-0.1141319230876148,-2.785074491279076,0.0,0.013114651827684292,45.0,26.0
token_mC_count,0.0618841148347432,0.0854994641829186,0.1762859973006308,0.1136219113372092,0.2281991674329619,0.7279796511627907,0.0,0.006023192693767645,46.0,67.0
rna_position_std,0.0642746066545244,0.3277528816962553,0.0383256754042477,-0.1150345203488372,-0.1031377050057333,-0.7193580435441511,0.0,0.01874901124923579,47.0,7.0
slash_mod_density_middle,0.0670387778976654,0.5140891869556176,0.9999757330941558,0.0324582122093022,0.0474773659187266,0.0007346763993033,0.0,0.0007914403040978715,48.0,117.0
token_rU_fraction,0.0670606377065523,0.2391901710104182,0.0210250665803607,-0.1158521075581395,-0.1519139948086414,-0.0079261906447769,-0.0100593734517011,0.01558590375196965,49.0,18.0
slash_mod_count_middle,0.0674987954828403,0.5175551416481794,0.9999757330941558,0.0324037063953488,0.051629992164187,0.0285701308139534,0.0,0.00042916439529873076,50.0,122.0
methyl_position_std,0.0740596949030506,0.3763189515252447,0.0152919987656492,-0.110914789244186,-0.0929257492964454,-1.904882894871179,-0.4816689923557078,0.010779724046244145,51.0,39.0
token_mC_fraction,0.0835431798930513,0.1045738486753871,0.060993854616423,0.1076353561046512,0.2086554301747539,0.005964776958761,0.0001849796522382,0.008864282590979633,52.0,50.0
rna_count_middle,0.0952124673344255,0.0425616718821291,0.1971847696301893,-0.1022892441860464,-0.2290530292240761,-1.9571856831395351,0.0,0.010324371283634408,53.0,43.0
base_T_count,0.0978788764992363,0.126458966322693,0.0542241480434994,-0.104469476744186,-0.1741554108283364,-1.2779887354651152,-1.0,0.013665076049719395,54.0,22.0
base_U_count,0.0978788764992363,0.126458966322693,0.0542241480434994,-0.104469476744186,-0.1741554108283364,-1.2779887354651152,-1.0,0.013525793640272564,54.0,23.0
rna_last_fraction,0.0984677833882311,0.5153000715112506,0.0251247826348382,-0.0996048328488372,-0.0689445999601036,-0.0072013899968129,-0.0258701930384557,0.008936946647113687,56.0,49.0
mod_density_middle,0.1024612718512613,0.0644796901636471,0.433388740369282,0.0803960755813952,0.2823269410481221,0.0329545934232069,0.0,0.005942296310672481,57.0,68.0
modified_token_density_middle,0.1024612718512613,0.0644796901636471,0.433388740369282,0.0803960755813952,0.2823269410481221,0.0329545934232069,0.0,0.005731664047498444,57.0,70.0
methyl_mean_position,0.1032103938908405,0.2363881580097852,0.1206021648045706,0.1011809593023256,0.1311184913453421,2.995963567097085,8.57142857142857,0.006360112470552581,59.0,65.0
modified_token_count_middle,0.1109665121517619,0.0519470724217118,0.417875906961428,0.0784156976744185,0.31761801772298,1.4357376453488373,0.0,0.0023226536061907365,60.0,95.0
rna_density_middle,0.1199408478055758,0.0807739801711531,0.4599384423133483,-0.0768622819767441,-0.2533544302660228,-0.0311204213630926,0.0,0.0051161620443660825,61.0,74.0
longest_rna_run,0.1364257368822696,0.1208780067850677,0.4169672743761202,-0.092360101744186,-0.1751509320656456,-5.825436046511626,0.0,0.011847362920889469,62.0,34.0
token_rA_count,0.1371688625431492,0.682391772550609,0.1225600114059895,-0.093836300872093,-0.0484956068537135,-0.6758720930232549,-1.0,0.011777548525205244,63.0,35.0
methyl_last_fraction,0.1522230480252668,0.8287640285705984,0.425774000123015,0.0831077398255815,0.0234434280774165,0.0152963875837559,0.0067567567567567,0.0011736015503719427,64.0,113.0
longest_mA_run,0.1550308514801615,0.1615829347098208,0.790007383769017,0.0825899345930232,0.1706982124600201,0.2862736191860466,0.0,0.0014232052185263126,65.0,107.0
rna_span_fraction,0.1599532575438503,0.792627483905186,0.0667150574153203,-0.0872365552325581,-0.0261223172261671,-0.003101325023635,-0.0358803986710964,0.009473416938146956,66.0,47.0
rna_first_position,0.1616321783916573,0.0899678621690793,0.9972093016407764,-0.0622229287790697,-0.1125925329407593,-0.401453488372093,0.0,0.001926421226933463,67.0,102.0
token_rG_count,0.1760699306338616,0.1910306184032068,0.2913495599250974,-0.0855196220930232,-0.1563760826480629,-1.4042514534883708,-0.5,0.0150625865312587,68.0,19.0
token_mG_count,0.2003570462512199,0.1657953806102997,0.0943708134584868,0.0784429505813952,0.1662579327777953,0.7052598110465116,0.0,0.003852654600933288,69.0,85.0
token_mA_count,0.2157613905879143,0.2987032729868776,0.8501716898592682,0.0733875363372094,0.119824739329248,0.572247456395349,0.0,0.004608924486058447,70.0,78.0
base_A_count,0.2286732808144812,0.995245873826627,0.3098853097781368,-0.0759720203488372,-0.0007018830682089,-0.0093477470930238,-1.0,0.012645059087369723,71.0,29.0
rna_first_fraction,0.2425861820752648,0.0725995698893095,0.3692465711635765,-0.0708621002906977,-0.0951908862270466,-0.0041000649731779,-0.0010680907877169,0.010382317207053064,72.0,41.0
star_density_3p,0.2434714965189207,0.1346788239061782,0.6536879812392694,0.0688135901162789,0.3354510484146142,0.0107258350017427,0.0,0.004199052593397323,73.0,82.0
slash_mod_count_3p,0.2438649986834082,0.4202208972296624,0.999024415803897,-0.0376862281976744,-0.0627485159038527,-0.0676780523255813,0.0,0.0019555569595987223,74.0,100.0
star_count_5p,0.2479787863825958,0.5122278568145407,0.9944135465168672,-0.0501635174418604,-0.0735439777693902,-0.0966751453488372,0.0,0.00037481570353119025,75.0,124.0
token_rA_fraction,0.2520206892326121,0.8632334172156306,0.23386845187553,-0.0724473110465115,-0.0207256109478677,-0.0023843394761899,-0.0133444917833232,0.01703335359882023,76.0,12.0
star_count_middle,0.2603323874783116,0.3269646414542619,0.999999336492146,0.0279206031976744,0.1932715987137855,0.0822311046511627,0.0,0.002554653318431907,77.0,93.0
slash_mod_density_3p,0.265718982780768,0.7412516722637179,0.999024415803897,-0.0360147165697674,-0.0298638567886382,-0.0007798534945592,0.0,0.0017110989295304564,78.0,105.0
token_mG_fraction,0.2689803224023701,0.2020266898999818,0.0412020604952158,0.0687227470930231,0.1483828553198541,0.0057679983439159,0.0,0.00944607263073171,79.0,48.0
star_density_middle,0.2747133546323361,0.6645098355211149,0.9999989998633008,0.0270939316860465,0.0556562523977173,0.0008620599655211,0.0,0.0028966248863515716,80.0,91.0
star_density_5p,0.275125501455401,0.2804089309546139,0.2383939728909284,-0.0647074854651162,-0.0970068227000913,-0.0047284514757851,-0.0023809523809524,0.0063637559391381245,81.0,63.0
token_mA_fraction,0.2774885137206945,0.3812743678954867,0.599471429757967,0.0646847747093022,0.0967881054051381,0.0042494081039437,0.002409944190766,0.006200050546855329,82.0,66.0
modified_token_first_fraction,0.2858629024972721,0.3726869663594899,0.9999993989808064,-0.0292423691860465,-0.1148674437434046,-0.0285646961608183,0.0,0.00026848238079023095,83.0,127.0
modified_token_first_position,0.2858629024972721,0.1702067328196838,0.9999993989808064,-0.0292423691860465,-0.0363523530211884,-0.0664607558139534,0.0,0.00021707586235391056,83.0,130.0
longest_mC_run,0.3377461810719666,0.3111171905513124,0.9998092355713184,0.0546829578488372,0.117658980129034,0.0787609011627906,0.0,0.0013778858414374125,85.0,110.0
star_first_position,0.3540194660531069,0.2032985220151278,0.9999915726510542,0.033938953488372,0.4061681778085572,1.895830305232558,0.0,0.00026011321304690284,86.0,128.0
base_A_fraction,0.3656108999441901,0.7778209229461519,0.2507321695385733,-0.0571675145348836,0.0332876431893781,0.0036046886552862,-0.01,0.017417711137710897,87.0,11.0
methyl_first_fraction,0.3681333290535628,0.5307154829738818,0.9999884608944952,0.0328306686046511,0.0744464426568728,0.0248499350719313,0.0,0.0008755528634549098,88.0,116.0
methyl_first_position,0.3684647838864497,0.2030952994462097,0.9999915726510542,0.0328079578488371,0.4156489319750988,1.9344022529069769,0.0,0.0001272895807339538,89.0,132.0
token_rG_fraction,0.3865890232394101,0.2844577651923708,0.2369468516888731,-0.0547783430232557,-0.134864599924617,-0.0080372552940559,0.0002050861361771,0.019258475602915773,90.0,6.0
token_rC_count,0.39300629772149,0.2350843542723169,0.5507358137092528,-0.0539834665697674,-0.1194268848051404,-1.009293241279071,0.0,0.01324630416516462,91.0,25.0
star_mean_position,0.4133943384082466,0.4054733898053957,0.5520916491720919,0.0487100290697675,0.0968404846128424,2.096076872710448,0.0,0.010568298881956146,92.0,40.0
methyl_span_fraction,0.4139411877927862,0.8003373686162022,0.9110756820188366,0.0474563953488371,-0.0288255360484204,-0.0095535474881756,0.0067567567567567,0.001892469409310164,93.0,103.0
slash_mod_position_std,0.4486894168887673,1.5972400528269262e-06,0.980095634451015,-0.0239871002906977,-0.1800814134529715,-2.1953759755799718,0.0,0.0019472074276243457,94.0,101.0
longest_mU_run,0.4496759098863065,0.5071271224251414,0.999999584038177,0.0382630813953488,0.0715641292705557,0.0400799418604649,0.0,0.0001796531647904803,95.0,131.0
base_C_fraction,0.4570217236792091,0.631918455474925,0.7544500662720585,0.0470112645348836,0.0540768048127743,0.0027039864498452,0.0,0.016778188339995094,96.0,14.0
modified_token_span_fraction,0.4679384019572232,0.4267780621717556,0.9316869872798093,0.041015625,-0.1015322856596908,-0.0253818433018477,0.0,0.0019887016850192374,97.0,99.0
modified_token_last_fraction,0.468334171823993,0.3990576754353111,0.9316869872798093,0.0409792877906975,-0.1087946902765217,-0.0539465394626661,0.0,0.0023075353573621103,98.0,96.0
slash_mod_span_fraction,0.4691711908145933,0.1113787979379378,0.999919110243335,-0.0229106104651163,-0.1217639985092649,-0.0278338574741977,0.0,0.0021472351573510328,99.0,98.0
modified_token_last_position,0.4868361774278595,0.226107913826441,0.2660190993921337,-0.0430368822674418,-0.1447507800609415,-4.926653343023261,0.0,0.007083316522372997,100.0,59.0
methyl_density_middle,0.4927558262245145,0.1978861293142189,0.8236711727975696,0.0318541061046511,0.1680488914342106,0.0191072518617379,0.0,0.0016753431480335049,101.0,106.0
methyl_count_5p,0.4995871080030046,0.6086489470837577,0.9275686443697202,0.0357921511627907,0.0578931040920962,0.1633539244186046,0.0,0.0014064134673248932,102.0,108.0
methyl_count_middle,0.5013262145865081,0.179580114764576,0.8491533504996476,0.0312091206395348,0.1866063898656091,0.8242460029069769,0.0,0.001064523633592008,103.0,114.0
star_last_fraction,0.5155415802373976,0.837455891721148,0.3899409749977044,0.0386991279069768,0.0221551426869886,0.0144865092301939,0.0,0.006499555475437016,104.0,62.0
modified_token_density_5p,0.520046093578209,0.9109274682561128,0.5216786566166997,0.0394622093023255,-0.011116616497389,-0.0012921443425527,0.0,0.008391551394481578,105.0,54.0
mod_density_5p,0.520046093578209,0.9109274682561128,0.5216786566166997,0.0394622093023255,-0.011116616497389,-0.0012921443425527,0.0,0.007103231498841019,105.0,58.0
token_mU_fraction,0.5216156864969083,0.6090604063519326,0.1582398289881246,-0.0403433866279069,0.0594209935442811,0.0019313856663144,-0.0002385211687536,0.008438408081172018,107.0,53.0
base_U_fraction,0.5436329978597727,0.4753726304419362,0.037191539959947,-0.0383993459302325,-0.0925460684352166,-0.0046444715542293,0.0,0.0215822130911488,108.0,3.0
base_T_fraction,0.5436329978597727,0.4753726304419362,0.037191539959947,-0.0383993459302325,-0.0925460684352166,-0.0046444715542293,0.0,0.019863261108168506,108.0,5.0
token_rC_fraction,0.5683851248986795,0.5955880057577745,0.7309671395016468,-0.0360873909883721,-0.0579585265503438,-0.0034403185649792,0.0,0.018136598402126426,110.0,10.0
modified_token_count_5p,0.5952963544040872,0.7541775780051775,0.9748958386189648,0.0286518895348837,0.0398578426022332,0.1443132267441864,0.0,0.002547252345284704,111.0,94.0
purine_fraction,0.5991719830488553,0.833837970131937,0.582166536872005,-0.0332440043604651,0.0252125836917671,0.001940485104384,-0.0043939393939393,0.018581762910618728,112.0,8.0
pyrimidine_fraction,0.5991719830488553,0.833837970131937,0.582166536872005,0.0332440043604651,-0.0252125836917671,-0.001940485104384,0.0043939393939393,0.016710976411130157,112.0,15.0
longest_rG_run,0.6018627427619879,0.8994041655033286,0.7284744592875523,0.0302189316860466,0.0132904613518853,0.0116188226744182,1.0,0.0036865907367311674,114.0,86.0
methyl_density_5p,0.6298493345059855,0.8977861763179359,0.4768042508192257,0.0295285247093022,0.0124116537017083,0.0010213907666042,0.0,0.0067455343952184214,115.0,61.0
base_G_count,0.635705848617596,0.4800086328423901,0.929710559648606,-0.0299282340116279,-0.0837624986753659,-0.6546784156976742,1.0,0.012571405303179848,116.0,30.0
slash_mod_last_position,0.648284151157456,0.017947855519865,0.5761173510738736,-0.0171102834302325,-0.1760177382589367,-5.873464752906976,0.0,0.01248061543624824,117.0,31.0
rna_density_5p,0.6507282071124684,0.5955577580137381,0.550570228491838,-0.0277888808139534,0.050150627344256,0.0065045777188941,0.0,0.011993182663855333,118.0,32.0
base_length,0.6523454529466215,0.3300366834718843,0.1246999256923165,-0.0267759811046511,-0.1049512346228577,-2.270058139534882,0.0,0.008787189691227515,119.0,51.0
star_last_position,0.6748513663115063,0.9930030600614892,0.3543452179484095,0.0249682049418604,0.0009137418825508,0.0373819040697611,0.0,0.005098550225486951,120.0,75.0
au_fraction,0.6993965408526499,0.9191172994937912,0.5801495259310753,-0.0244186046511627,-0.0122236782986771,-0.001039782898943,-0.0016666666666665,0.014823307954730884,121.0,21.0
gc_fraction,0.6993965408526499,0.919117299493787,0.5801495259310753,0.0244186046511627,0.0122236782986778,0.001039782898943,0.0016666666666666,0.012724635958906478,121.0,28.0
slash_mod_last_fraction,0.7136461637076186,0.4396721695153861,0.8546259363291951,-0.0137627180232557,-0.0737638884526391,-0.0456090505503085,0.0,0.005242341845106322,123.0,73.0
methyl_last_position,0.7155921763681099,0.9510093091860498,0.3497424872699113,0.0225517805232557,0.0063975053269296,0.2633539244186096,2.0,0.006362942987325257,124.0,64.0
star_position_std,0.716134130324716,0.4416387898203966,0.0192710140687392,-0.0216706031976744,-0.0805669632401505,-1.6017330833653318,0.0,0.02849792226223271,125.0,1.0
rna_count_5p,0.7332021461388124,0.5220490492397547,0.1825004457523329,-0.0208984374999999,-0.0634773835690075,-0.5200127180232563,0.0,0.01038136942421083,126.0,42.0
slash_mod_mean_position,0.7482322119395386,0.0841094316309031,0.8656789862379394,-0.0120412427325581,-0.1459289528514098,-3.755602480302926,0.0,0.00474443767632361,127.0,77.0
base_C_count,0.7561270675848575,0.6821970695545461,0.8225966526441987,0.0196130087209303,-0.0425729689675555,-0.3280432412790688,0.0,0.016050029620951808,128.0,16.0
longest_gc_run,0.779232760821742,0.9115153798514408,0.9105331354999784,0.0168468386627906,-0.0110498973384259,-0.0115643168604653,0.0,0.003945414316273584,129.0,84.0
star_span_fraction,0.7819033174310599,0.7662540844541912,0.3078494862585592,0.0164789244186045,-0.0339014550999105,-0.0110905373825775,0.0,0.007702525204405683,130.0,56.0
star_density,0.7821039627571478,0.535773053203126,0.3323262486990077,-0.0164834665697674,0.0868219768320595,0.0023362460112754,-0.0010482180293501,0.00858658175149342,131.0,52.0
slash_mod_mean_fraction,0.7858233130481916,0.5511371848491858,0.9860919650297696,-0.0101925872093022,-0.0588892298852225,-0.0318848863373519,0.0,0.004295802947728852,132.0,80.0
star_count,0.7942419829851334,0.3263475946111901,0.9763630808143464,-0.0123637354651162,0.2021671937264282,0.5027343750000002,0.0,0.002290355180756114,133.0,97.0
star_count_3p,0.8044051276081571,0.1452671629801001,0.9999390376522136,0.0111237281976743,0.3971759632579948,0.5171784156976744,0.0,0.0005818591596330952,134.0,120.0
slash_mod_first_position,0.8192553143192131,0.4189910771498242,0.997993533889248,-0.008571039244186,-0.0702572588638414,-1.5955577761627904,0.0,0.003475632326195498,135.0,87.0
slash_mod_first_fraction,0.8272700157329134,0.7174583713139656,0.997993533889248,-0.0081849563953488,-0.0370014391444901,-0.0177751930761106,0.0,0.0032344688411020217,136.0,90.0
modified_token_mean_position,0.8342147832126788,0.8377920012367969,0.7820876130098694,0.0130132630813952,-0.0249292522649321,-0.4755824554357701,4.403846153846153,0.010793799432306031,137.0,38.0
max_gc_window_10,0.8419824675504664,0.6811226620535965,0.905592452168702,0.0116188226744184,-0.0477902925271722,-0.0059792877906977,0.05,0.0058656285423684985,138.0,69.0
token_mU_count,0.8478196458854923,0.4607459400012718,0.4359841736186896,-0.0118731831395348,0.0934459888471497,0.3127361918604654,0.0,0.004114798273799054,139.0,83.0
longest_star_run,0.8509440882646325,0.8486859943410003,1.0,0.0067678052325581,0.0206109091683581,0.0067678052325581,0.0,0.0,140.0,133.0
lna_count_3p,0.8562461139569648,0.3174050553751423,1.0,-0.0003906249999999,-0.0200897993787335,-0.000390625,0.0,0.0,141.0,133.0
lna_density_3p,0.8562461139569648,0.3174050553751422,1.0,-0.0003906249999999,-0.0200897993787336,-8.138020833333321e-06,0.0,0.0,141.0,133.0
slash_mod_count,0.8568185573086402,0.8127207854519941,0.9999999814399168,-0.0067678052325581,0.0283463843341662,0.0385265261627907,0.0,0.0013977770026323206,143.0,109.0
has_slash_mod,0.8626903405260373,0.8610509851969662,1.0,-0.0064680232558139,-0.0189702457112617,-0.0064680232558139,0.0,0.0003006764179118097,144.0,125.0
decorated_length,0.88161380875269,0.4667037458693059,0.4403731667440318,0.0090479651162791,-0.0779292243555638,-3.498228561046517,0.0,0.009826294113929476,145.0,45.0
longest_slash_mod_run,0.8972897919994341,0.4726687408059332,1.0,-0.0048373909883721,-0.0540651144324955,-0.0492005813953488,0.0,0.0007858506126522883,146.0,118.0
base_G_fraction,0.8989142958751275,0.7668633385086505,0.6032147511383803,0.0080350654069767,-0.0376570312719713,-0.0016642035509022,0.0,0.02039621338018135,147.0,4.0
star_first_fraction,0.9110872332923828,0.5204694749854812,0.218939790978578,0.0066497093023256,0.0756609448964701,0.0255770466127713,0.0,0.005429234747948614,148.0,72.0
slash_mod_density_5p,0.9134867374052942,0.3716090493610221,0.9974298351853088,0.0030296148255815,0.1754860227910314,0.0024149163666281,0.0,0.0012947219764993115,149.0,111.0
token_length,0.9254497382871452,0.4849107119072984,0.3430612449166811,-0.005577761627907,-0.0784496350587164,-1.7287972383720955,0.0,0.006997981021010371,150.0,60.0
terminal_gc_count,0.9414842408715904,0.970418692218475,0.999997813411455,0.0040515988372094,-0.0037798362245995,-0.0022710755813953,0.0,0.005680419826108451,151.0,71.0
slash_mod_count_5p,0.9644538444510607,0.4715866185516231,1.0,0.0012445494186046,0.1670350038347689,0.0776344476744186,0.0,0.00024002730588328406,152.0,129.0
longest_rC_run,0.9699749297998153,0.8402067135919908,1.0,-0.0020984738372092,-0.0213552011855461,-0.0222383720930232,0.0,0.0018434794932086695,153.0,104.0
lna_count_5p,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
lna_density_5p,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
longest_lU_run,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
terminal_star_count,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
token_lU_count,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
token_lU_fraction,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
unknown_char_count,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
unknown_char_fraction,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,154.0,133.0
